N,epsilon,transition_prob,discount_factor,global_phase_size,aggregate_phase_size,algorithm,time,iterations,total_updates,error,num_mega_states,t_sa_final,theoretical_bound,speedup_updates
10,0.0005,0.5,0.95,2,5,mega_state_agg,0.04731025313958526,78,3570,0.016087046973286334,30,55,0.019999999999999983,0.9803921568627451
10,0.0005,0.5,0.95,2,10,value_iteration,0.03107366105541587,35,3500,0.0,,,0.019999999999999983,0.9114583333333334
10,0.0005,0.5,0.95,2,10,mega_state_agg,0.0628043981269002,109,3840,0.018695230372538063,30,90,0.019999999999999983,0.9114583333333334
10,0.0005,0.5,0.95,5,20,value_iteration,0.028542768210172653,35,3500,0.0,,,0.019999999999999983,0.8536585365853658
10,0.0005,0.5,0.95,5,20,mega_state_agg,0.06148807518184185,101,4100,0.01730749491272654,30,80,0.019999999999999983,0.8536585365853658
10,0.0005,0.5,0.99,2,10,value_iteration,0.03528119483962655,42,4200,0.0,,,0.09999999999999991,1.721311475409836
10,0.0005,0.5,0.99,2,10,mega_state_agg,0.03585497010499239,74,2440,0.07491624967049404,30,60,0.09999999999999991,1.721311475409836
10,0.0005,0.5,0.99,2,5,value_iteration,0.03856152715161443,42,4200,0.0,,,0.09999999999999991,1.1764705882352942
10,0.0005,0.5,0.99,2,5,mega_state_agg,0.048649986274540424,78,3570,0.09451611431923723,30,55,0.09999999999999991,1.1764705882352942
10,0.0005,0.6,0.8,2,5,value_iteration,0.017060323152691126,21,2100,0.0,,,0.005000000000000001,1.3375796178343948
10,0.0005,0.6,0.8,2,5,mega_state_agg,0.019030491821467876,37,1570,0.0038954087967812967,30,25,0.005000000000000001,1.3375796178343948
10,0.0005,0.6,0.8,2,10,value_iteration,0.01720275590196252,21,2100,0.0,,,0.005000000000000001,0.860655737704918
10,0.0005,0.6,0.8,2,10,mega_state_agg,0.035800048150122166,74,2440,0.0036995028699529087,30,60,0.005000000000000001,0.860655737704918
10,0.0005,0.6,0.85,2,5,value_iteration,0.018750885035842657,23,2300,0.0,,,0.006666666666666666,1.013215859030837
10,0.0005,0.6,0.85,2,5,mega_state_agg,0.029917601961642504,51,2270,0.00534529338825962,30,35,0.006666666666666666,1.013215859030837
10,0.0005,0.6,0.8,5,20,value_iteration,0.018765054643154144,21,2100,0.0,,,0.005000000000000001,0.963302752293578
10,0.0005,0.6,0.8,5,20,mega_state_agg,0.03096528723835945,54,2180,0.003987982803485224,29,40,0.005000000000000001,0.963302752293578
10,0.0005,0.5,0.99,5,20,value_iteration,0.03735350584611297,42,4200,0.0,,,0.09999999999999991,1.024390243902439
10,0.0005,0.5,0.99,5,20,mega_state_agg,0.06495360098779202,101,4100,0.08747022934927173,30,80,0.09999999999999991,1.024390243902439
10,0.0005,0.6,0.85,5,20,value_iteration,0.02007344737648964,23,2300,0.0,,,0.006666666666666666,1.2105263157894737
10,0.0005,0.6,0.85,5,20,mega_state_agg,0.027985254302620888,51,1900,0.005614246826352698,30,40,0.006666666666666666,1.2105263157894737
